DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2/29/20 0:00,1,0,0
3/3/20 0:00,1,1,0
3/4/20 0:00,5,2,0
3/5/20 0:00,3,8,0
3/6/20 0:00,8,5,0
3/7/20 0:00,7,6,0
3/8/20 0:00,21,15,0
3/9/20 0:00,57,30,0
3/10/20 0:00,70,49,0
3/11/20 0:00,155,73,1
3/12/20 0:00,357,79,0
3/13/20 0:00,619,145,0
3/14/20 0:00,642,156,2
3/15/20 0:00,1037,196,5
3/16/20 0:00,2121,330,8
3/17/20 0:00,2452,360,8
3/18/20 0:00,2971,491,20
3/19/20 0:00,3707,571,24
3/20/20 0:00,4007,701,47
3/21/20 0:00,2637,736,44
3/22/20 0:00,2579,763,50
3/23/20 0:00,3570,1111,82
3/24/20 0:00,4503,1244,95
3/25/20 0:00,4874,1396,123
3/26/20 0:00,5047,1543,190
3/27/20 0:00,5118,1502,218
3/28/20 0:00,3479,1439,274
3/29/20 0:00,3562,1471,292
3/30/20 0:00,6130,1835,325
3/31/20 0:00,5464,1804,385
4/1/20 0:00,5450,1757,447
4/2/20 0:00,5748,1732,499
4/3/20 0:00,5670,1688,498
4/4/20 0:00,3866,1431,512
4/5/20 0:00,3782,1394,580
4/6/20 0:00,6354,1805,575
4/7/20 0:00,6045,1686,599
4/8/20 0:00,5581,1618,569
4/9/20 0:00,5071,1482,561
4/10/20 0:00,4512,1395,540
4/11/20 0:00,3732,1161,542
4/12/20 0:00,2888,1033,572
4/13/20 0:00,3313,1264,570
4/14/20 0:00,4146,1128,510
4/15/20 0:00,3878,1003,455
4/16/20 0:00,3529,902,414
4/17/20 0:00,3584,898,385
4/18/20 0:00,2172,666,390
4/19/20 0:00,2346,587,399
4/20/20 0:00,3794,709,364
4/21/20 0:00,3064,654,324
4/22/20 0:00,3461,577,313
4/23/20 0:00,2842,504,332
4/24/20 0:00,2535,517,315
4/25/20 0:00,1597,366,264
4/26/20 0:00,1003,339,246
4/27/20 0:00,2289,394,270
4/28/20 0:00,2728,396,229
4/29/20 0:00,2341,327,240
4/30/20 0:00,2022,283,225
5/1/20 0:00,1888,292,210
5/2/20 0:00,1058,225,191
5/3/20 0:00,786,216,177
5/4/20 0:00,1551,253,159
5/5/20 0:00,1512,229,152
5/6/20 0:00,1398,229,151
5/7/20 0:00,1237,198,142
5/8/20 0:00,1082,208,131
5/9/20 0:00,658,146,99
5/10/20 0:00,458,108,103
5/11/20 0:00,1232,192,104
5/12/20 0:00,1285,136,91
5/13/20 0:00,1335,151,83
5/14/20 0:00,1112,146,70
5/15/20 0:00,875,140,87
5/16/20 0:00,486,91,83
5/17/20 0:00,359,83,77
5/18/20 0:00,897,112,59
5/19/20 0:00,1004,127,55
5/20/20 0:00,1078,88,81
5/21/20 0:00,1069,95,45
5/22/20 0:00,1039,115,65
5/23/20 0:00,457,73,60
5/24/20 0:00,467,82,49
5/25/20 0:00,467,86,49
5/26/20 0:00,1053,75,38
5/27/20 0:00,745,84,49
5/28/20 0:00,646,79,38
5/29/20 0:00,646,92,43
5/30/20 0:00,349,57,54
5/31/20 0:00,230,62,39
6/1/20 0:00,687,79,35
6/2/20 0:00,574,70,38
6/3/20 0:00,516,81,43
6/4/20 0:00,523,74,33
6/5/20 0:00,404,58,28
6/6/20 0:00,246,41,35
6/7/20 0:00,198,54,25
6/8/20 0:00,451,62,40
6/9/20 0:00,421,61,33
6/10/20 0:00,365,60,31
6/11/20 0:00,366,56,21
6/12/20 0:00,410,59,24
6/13/20 0:00,197,38,15
6/14/20 0:00,180,43,24
6/15/20 0:00,380,56,20
6/16/20 0:00,420,62,18
6/17/20 0:00,356,50,20
6/18/20 0:00,378,56,17
6/19/20 0:00,362,53,17
6/20/20 0:00,203,30,19
6/21/20 0:00,172,42,28
6/22/20 0:00,398,54,25
6/23/20 0:00,383,46,27
6/24/20 0:00,383,49,25
6/25/20 0:00,299,45,19
6/26/20 0:00,314,41,20
6/27/20 0:00,207,40,21
6/28/20 0:00,203,35,19
6/29/20 0:00,439,50,24
6/30/20 0:00,442,49,23
7/1/20 0:00,397,43,12
7/2/20 0:00,418,48,24
7/3/20 0:00,235,28,21
7/4/20 0:00,120,32,14
7/5/20 0:00,154,25,16
7/6/20 0:00,434,60,16
7/7/20 0:00,461,49,13
7/8/20 0:00,437,32,20
7/9/20 0:00,392,50,10
7/10/20 0:00,310,43,10
7/11/20 0:00,257,32,13
7/12/20 0:00,224,27,11
7/13/20 0:00,484,49,17
7/14/20 0:00,401,41,10
7/15/20 0:00,440,44,14
7/16/20 0:00,417,36,9
7/17/20 0:00,418,54,13
7/18/20 0:00,218,29,11
7/19/20 0:00,175,33,7
7/20/20 0:00,402,34,11
7/21/20 0:00,339,28,11
7/22/20 0:00,330,38,8
7/23/20 0:00,309,38,9
7/24/20 0:00,300,40,6
7/25/20 0:00,153,34,11
7/26/20 0:00,140,27,8
7/27/20 0:00,316,43,5
7/28/20 0:00,312,40,12
7/29/20 0:00,289,30,5
7/30/20 0:00,271,36,4
7/31/20 0:00,264,33,5
8/1/20 0:00,189,31,8
8/2/20 0:00,137,33,2
8/3/20 0:00,348,41,3
8/4/20 0:00,187,38,6
8/5/20 0:00,300,38,8
8/6/20 0:00,292,34,6
8/7/20 0:00,255,27,4
8/8/20 0:00,160,17,6
8/9/20 0:00,133,27,3
8/10/20 0:00,309,33,6
8/11/20 0:00,262,26,6
8/12/20 0:00,319,36,2
8/13/20 0:00,275,40,3
8/14/20 0:00,278,40,4
8/15/20 0:00,151,23,7
8/16/20 0:00,140,24,5
8/17/20 0:00,327,34,6
8/18/20 0:00,282,43,2
8/19/20 0:00,257,31,2
8/20/20 0:00,224,35,7
8/21/20 0:00,251,31,3
8/22/20 0:00,135,26,6
8/23/20 0:00,150,21,4
8/24/20 0:00,297,31,8
8/25/20 0:00,282,41,5
8/26/20 0:00,313,26,6
8/27/20 0:00,268,31,1
8/28/20 0:00,276,22,6
8/29/20 0:00,128,22,4
8/30/20 0:00,181,19,8
8/31/20 0:00,310,40,3
9/1/20 0:00,296,22,5
9/2/20 0:00,274,23,7
9/3/20 0:00,272,21,6
9/4/20 0:00,229,31,4
9/5/20 0:00,156,20,3
9/6/20 0:00,206,24,7
9/7/20 0:00,218,25,3
9/8/20 0:00,390,25,2
9/9/20 0:00,351,28,3
9/10/20 0:00,322,26,3
9/11/20 0:00,313,34,4
9/12/20 0:00,201,14,5
9/13/20 0:00,256,17,3
9/14/20 0:00,432,27,5
9/15/20 0:00,340,32,3
9/16/20 0:00,365,47,7
9/17/20 0:00,355,27,3
9/18/20 0:00,286,37,4
9/19/20 0:00,160,23,5
9/20/20 0:00,157,24,3
9/21/20 0:00,511,23,3
9/22/20 0:00,406,32,3
9/23/20 0:00,532,38,4
9/24/20 0:00,467,32,2
9/25/20 0:00,457,48,4
9/26/20 0:00,279,30,6
9/27/20 0:00,381,32,2
9/28/20 0:00,432,37,4
9/29/20 0:00,685,48,8
9/30/20 0:00,586,49,7
10/1/20 0:00,612,35,5
10/2/20 0:00,591,45,4
10/3/20 0:00,273,25,5
10/4/20 0:00,337,44,7
10/5/20 0:00,846,54,3
10/6/20 0:00,562,49,2
10/7/20 0:00,538,44,4
10/8/20 0:00,517,41,5
10/9/20 0:00,514,54,3
10/10/20 0:00,305,33,4
10/11/20 0:00,276,45,8
10/12/20 0:00,473,46,8
10/13/20 0:00,549,52,3
10/14/20 0:00,545,53,5
10/15/20 0:00,575,71,9
10/16/20 0:00,478,41,6
10/17/20 0:00,345,38,6
10/18/20 0:00,390,35,4
10/19/20 0:00,578,59,6
10/20/20 0:00,537,61,6
10/21/20 0:00,591,48,4
10/22/20 0:00,681,37,2
10/23/20 0:00,482,50,3
10/24/20 0:00,307,41,1
10/25/20 0:00,269,29,6
10/26/20 0:00,340,22,2
10/27/20 0:00,137,3,4
10/28/20 0:00,12,0,1