DATE_OF_INTEREST,BRONX_DATE_OF_INTEREST,BRONX_Case,BRONX_Hospitalization,BRONX_Deaths,,QUEENS_DATE_OF_INTEREST,QUEENS_Case,QUEENS_Hospitalization,QUEENS_Death,,SI_DATE_OF_INTEREST,SI_Cases,SI_Hospitalizations,SI_Deaths,,MANHATTAN_DATE_OF_INTEREST,MANHATTAN_Case,MANHATTAN_Hospitalizations,MANHATTAN_Deaths,,BROOKLYN_DATE_OF_INTEREST,BROOKLYN_Case,BROOKLYN_Hospitalizations,BROOKLYN_Deaths
7/1/20,7/1/20,62.00,9.00,1.00,,7/1/20,93.00,13.00,3.00,,7/1/20,39.00,0.00,1.00,,7/1/20,83.00,8.00,2.00,,7/1/20,120.00,13.00,5.00
7/2/20,7/2/20,73.00,10.00,2.00,,7/2/20,118.00,18.00,5.00,,7/2/20,17.00,0.00,4.00,,7/2/20,81.00,6.00,9.00,,7/2/20,129.00,14.00,4.00
7/3/20,7/3/20,40.00,3.00,7.00,,7/3/20,65.00,4.00,6.00,,7/3/20,8.00,1.00,2.00,,7/3/20,48.00,7.00,2.00,,7/3/20,72.00,13.00,4.00
7/4/20,7/4/20,21.00,5.00,2.00,,7/4/20,32.00,8.00,3.00,,7/4/20,12.00,1.00,1.00,,7/4/20,32.00,9.00,2.00,,7/4/20,23.00,9.00,6.00
7/5/20,7/5/20,19.00,4.00,6.00,,7/5/20,38.00,12.00,2.00,,7/5/20,12.00,0.00,0.00,,7/5/20,32.00,6.00,3.00,,7/5/20,53.00,3.00,5.00
7/6/20,7/6/20,67.00,9.00,4.00,,7/6/20,119.00,20.00,4.00,,7/6/20,28.00,2.00,0.00,,7/6/20,78.00,6.00,4.00,,7/6/20,142.00,23.00,4.00
7/7/20,7/7/20,112.00,18.00,2.00,,7/7/20,106.00,14.00,4.00,,7/7/20,32.00,1.00,1.00,,7/7/20,88.00,9.00,2.00,,7/7/20,123.00,7.00,4.00
7/8/20,7/8/20,83.00,7.00,3.00,,7/8/20,88.00,5.00,5.00,,7/8/20,25.00,1.00,4.00,,7/8/20,120.00,7.00,3.00,,7/8/20,121.00,12.00,5.00
7/9/20,7/9/20,90.00,19.00,3.00,,7/9/20,94.00,11.00,1.00,,7/9/20,18.00,1.00,0.00,,7/9/20,86.00,7.00,2.00,,7/9/20,104.00,12.00,4.00
7/10/20,7/10/20,66.00,9.00,4.00,,7/10/20,90.00,14.00,1.00,,7/10/20,13.00,3.00,1.00,,7/10/20,49.00,1.00,1.00,,7/10/20,91.00,16.00,3.00
7/11/20,7/11/20,40.00,5.00,2.00,,7/11/20,86.00,8.00,5.00,,7/11/20,13.00,0.00,0.00,,7/11/20,46.00,5.00,4.00,,7/11/20,72.00,14.00,2.00
7/12/20,7/12/20,44.00,7.00,2.00,,7/12/20,70.00,7.00,5.00,,7/12/20,13.00,0.00,0.00,,7/12/20,42.00,3.00,0.00,,7/12/20,55.00,10.00,4.00
7/13/20,7/13/20,109.00,12.00,5.00,,7/13/20,138.00,12.00,5.00,,7/13/20,35.00,4.00,0.00,,7/13/20,79.00,7.00,5.00,,7/13/20,123.00,14.00,2.00
7/14/20,7/14/20,68.00,11.00,1.00,,7/14/20,122.00,13.00,3.00,,7/14/20,19.00,1.00,0.00,,7/14/20,80.00,7.00,2.00,,7/14/20,110.00,9.00,4.00
7/15/20,7/15/20,107.00,9.00,4.00,,7/15/20,90.00,11.00,7.00,,7/15/20,22.00,2.00,0.00,,7/15/20,70.00,4.00,1.00,,7/15/20,150.00,18.00,2.00
7/16/20,7/16/20,94.00,11.00,1.00,,7/16/20,109.00,6.00,3.00,,7/16/20,35.00,3.00,0.00,,7/16/20,89.00,6.00,2.00,,7/16/20,90.00,10.00,3.00
7/17/20,7/17/20,74.00,11.00,2.00,,7/17/20,105.00,17.00,8.00,,7/17/20,22.00,1.00,0.00,,7/17/20,111.00,9.00,3.00,,7/17/20,104.00,16.00,0.00
7/18/20,7/18/20,55.00,7.00,2.00,,7/18/20,49.00,8.00,2.00,,7/18/20,19.00,1.00,0.00,,7/18/20,37.00,6.00,2.00,,7/18/20,58.00,7.00,5.00
7/19/20,7/19/20,39.00,7.00,1.00,,7/19/20,46.00,13.00,0.00,,7/19/20,17.00,2.00,0.00,,7/19/20,34.00,2.00,3.00,,7/19/20,40.00,9.00,3.00
7/20/20,7/20/20,94.00,11.00,2.00,,7/20/20,109.00,7.00,3.00,,7/20/20,32.00,3.00,0.00,,7/20/20,80.00,4.00,2.00,,7/20/20,85.00,9.00,4.00
7/21/20,7/21/20,71.00,6.00,4.00,,7/21/20,100.00,6.00,2.00,,7/21/20,21.00,3.00,0.00,,7/21/20,68.00,2.00,0.00,,7/21/20,79.00,11.00,5.00
7/22/20,7/22/20,79.00,7.00,3.00,,7/22/20,76.00,12.00,4.00,,7/22/20,20.00,2.00,0.00,,7/22/20,60.00,4.00,0.00,,7/22/20,96.00,13.00,1.00
7/23/20,7/23/20,69.00,5.00,0.00,,7/23/20,64.00,7.00,4.00,,7/23/20,27.00,4.00,0.00,,7/23/20,65.00,12.00,0.00,,7/23/20,84.00,10.00,5.00
7/24/20,7/24/20,73.00,10.00,2.00,,7/24/20,75.00,11.00,1.00,,7/24/20,28.00,2.00,1.00,,7/24/20,56.00,5.00,0.00,,7/24/20,67.00,12.00,2.00
7/25/20,7/25/20,25.00,12.00,6.00,,7/25/20,46.00,6.00,2.00,,7/25/20,13.00,4.00,0.00,,7/25/20,34.00,3.00,1.00,,7/25/20,35.00,9.00,2.00
7/26/20,7/26/20,31.00,7.00,2.00,,7/26/20,33.00,5.00,2.00,,7/26/20,19.00,2.00,0.00,,7/26/20,18.00,6.00,0.00,,7/26/20,40.00,7.00,4.00
7/27/20,7/27/20,57.00,12.00,1.00,,7/27/20,78.00,10.00,1.00,,7/27/20,26.00,1.00,0.00,,7/27/20,73.00,6.00,1.00,,7/27/20,80.00,14.00,2.00
7/28/20,7/28/20,57.00,9.00,5.00,,7/28/20,73.00,8.00,4.00,,7/28/20,18.00,3.00,0.00,,7/28/20,58.00,2.00,2.00,,7/28/20,106.00,18.00,1.00
7/29/20,7/29/20,80.00,5.00,1.00,,7/29/20,68.00,6.00,1.00,,7/29/20,13.00,2.00,1.00,,7/29/20,56.00,6.00,1.00,,7/29/20,72.00,11.00,1.00
7/30/20,7/30/20,56.00,6.00,1.00,,7/30/20,61.00,9.00,0.00,,7/30/20,12.00,1.00,0.00,,7/30/20,44.00,3.00,1.00,,7/30/20,97.00,17.00,2.00
7/31/20,7/31/20,55.00,6.00,2.00,,7/31/20,60.00,6.00,1.00,,7/31/20,18.00,2.00,0.00,,7/31/20,51.00,9.00,1.00,,7/31/20,79.00,10.00,1.00
8/1/20,8/1/20,37.00,6.00,3.00,,8/1/20,54.00,3.00,1.00,,8/1/20,7.00,2.00,0.00,,8/1/20,33.00,5.00,1.00,,8/1/20,58.00,15.00,3.00
8/2/20,8/2/20,30.00,5.00,0.00,,8/2/20,33.00,11.00,0.00,,8/2/20,8.00,4.00,0.00,,8/2/20,25.00,4.00,0.00,,8/2/20,41.00,9.00,2.00
8/3/20,8/3/20,96.00,13.00,1.00,,8/3/20,84.00,9.00,1.00,,8/3/20,19.00,1.00,0.00,,8/3/20,56.00,6.00,1.00,,8/3/20,93.00,12.00,0.00
8/4/20,8/4/20,47.00,13.00,1.00,,8/4/20,46.00,6.00,2.00,,8/4/20,7.00,1.00,0.00,,8/4/20,38.00,5.00,1.00,,8/4/20,50.00,12.00,2.00
8/5/20,8/5/20,64.00,10.00,2.00,,8/5/20,79.00,12.00,3.00,,8/5/20,15.00,0.00,0.00,,8/5/20,47.00,2.00,3.00,,8/5/20,94.00,13.00,0.00
8/6/20,8/6/20,67.00,9.00,1.00,,8/6/20,66.00,8.00,2.00,,8/6/20,18.00,2.00,0.00,,8/6/20,55.00,5.00,1.00,,8/6/20,85.00,10.00,2.00
8/7/20,8/7/20,52.00,7.00,2.00,,8/7/20,57.00,7.00,2.00,,8/7/20,6.00,0.00,0.00,,8/7/20,50.00,4.00,0.00,,8/7/20,89.00,9.00,0.00
8/8/20,8/8/20,30.00,6.00,1.00,,8/8/20,43.00,4.00,0.00,,8/8/20,7.00,1.00,0.00,,8/8/20,23.00,1.00,4.00,,8/8/20,57.00,5.00,1.00
8/9/20,8/9/20,19.00,7.00,1.00,,8/9/20,37.00,5.00,2.00,,8/9/20,12.00,1.00,0.00,,8/9/20,18.00,4.00,0.00,,8/9/20,48.00,10.00,0.00
8/10/20,8/10/20,88.00,8.00,2.00,,8/10/20,76.00,6.00,2.00,,8/10/20,22.00,2.00,0.00,,8/10/20,49.00,3.00,1.00,,8/10/20,73.00,12.00,1.00
8/11/20,8/11/20,68.00,10.00,1.00,,8/11/20,51.00,4.00,2.00,,8/11/20,18.00,3.00,0.00,,8/11/20,42.00,1.00,2.00,,8/11/20,80.00,8.00,1.00
8/12/20,8/12/20,59.00,6.00,2.00,,8/12/20,86.00,10.00,0.00,,8/12/20,18.00,2.00,0.00,,8/12/20,42.00,7.00,0.00,,8/12/20,114.00,9.00,0.00
8/13/20,8/13/20,58.00,9.00,1.00,,8/13/20,67.00,10.00,0.00,,8/13/20,12.00,0.00,0.00,,8/13/20,51.00,7.00,0.00,,8/13/20,86.00,14.00,2.00
8/14/20,8/14/20,69.00,6.00,1.00,,8/14/20,69.00,16.00,0.00,,8/14/20,16.00,2.00,1.00,,8/14/20,44.00,5.00,1.00,,8/14/20,79.00,11.00,1.00
8/15/20,8/15/20,42.00,8.00,3.00,,8/15/20,42.00,4.00,0.00,,8/15/20,9.00,2.00,0.00,,8/15/20,25.00,1.00,2.00,,8/15/20,33.00,8.00,2.00
8/16/20,8/16/20,23.00,12.00,2.00,,8/16/20,39.00,5.00,2.00,,8/16/20,7.00,1.00,0.00,,8/16/20,22.00,1.00,0.00,,8/16/20,49.00,5.00,1.00
8/17/20,8/17/20,71.00,9.00,1.00,,8/17/20,93.00,13.00,2.00,,8/17/20,14.00,0.00,1.00,,8/17/20,55.00,4.00,1.00,,8/17/20,95.00,9.00,1.00
8/18/20,8/18/20,54.00,15.00,2.00,,8/18/20,87.00,14.00,0.00,,8/18/20,14.00,2.00,0.00,,8/18/20,62.00,2.00,0.00,,8/18/20,65.00,9.00,0.00
8/19/20,8/19/20,50.00,4.00,0.00,,8/19/20,69.00,5.00,1.00,,8/19/20,18.00,0.00,0.00,,8/19/20,52.00,9.00,0.00,,8/19/20,68.00,13.00,1.00
8/20/20,8/20/20,62.00,11.00,2.00,,8/20/20,55.00,12.00,2.00,,8/20/20,20.00,1.00,0.00,,8/20/20,34.00,4.00,0.00,,8/20/20,55.00,7.00,3.00
8/21/20,8/21/20,51.00,9.00,0.00,,8/21/20,60.00,8.00,3.00,,8/21/20,14.00,0.00,0.00,,8/21/20,51.00,5.00,0.00,,8/21/20,76.00,9.00,0.00
8/22/20,8/22/20,29.00,6.00,1.00,,8/22/20,34.00,7.00,1.00,,8/22/20,7.00,0.00,1.00,,8/22/20,30.00,6.00,1.00,,8/22/20,35.00,7.00,2.00
8/23/20,8/23/20,32.00,2.00,3.00,,8/23/20,40.00,10.00,0.00,,8/23/20,7.00,1.00,0.00,,8/23/20,16.00,3.00,1.00,,8/23/20,56.00,5.00,0.00
8/24/20,8/24/20,65.00,10.00,5.00,,8/24/20,83.00,6.00,0.00,,8/24/20,15.00,2.00,1.00,,8/24/20,50.00,7.00,1.00,,8/24/20,85.00,5.00,1.00
8/25/20,8/25/20,64.00,10.00,3.00,,8/25/20,69.00,10.00,0.00,,8/25/20,12.00,0.00,0.00,,8/25/20,54.00,6.00,0.00,,8/25/20,83.00,14.00,2.00
8/26/20,8/26/20,64.00,6.00,1.00,,8/26/20,66.00,4.00,3.00,,8/26/20,16.00,3.00,0.00,,8/26/20,51.00,2.00,1.00,,8/26/20,116.00,11.00,1.00
8/27/20,8/27/20,51.00,8.00,1.00,,8/27/20,61.00,11.00,0.00,,8/27/20,13.00,2.00,0.00,,8/27/20,48.00,2.00,0.00,,8/27/20,95.00,8.00,0.00
8/28/20,8/28/20,75.00,4.00,3.00,,8/28/20,51.00,6.00,1.00,,8/28/20,21.00,1.00,0.00,,8/28/20,51.00,2.00,1.00,,8/28/20,79.00,9.00,1.00
8/29/20,8/29/20,28.00,7.00,1.00,,8/29/20,32.00,5.00,1.00,,8/29/20,7.00,1.00,1.00,,8/29/20,23.00,0.00,0.00,,8/29/20,38.00,9.00,1.00
8/30/20,8/30/20,19.00,2.00,4.00,,8/30/20,42.00,6.00,2.00,,8/30/20,24.00,4.00,0.00,,8/30/20,36.00,4.00,0.00,,8/30/20,60.00,4.00,2.00
8/31/20,8/31/20,45.00,8.00,3.00,,8/31/20,77.00,13.00,0.00,,8/31/20,21.00,0.00,0.00,,8/31/20,51.00,4.00,0.00,,8/31/20,115.00,14.00,0.00
9/1/20,9/1/20,52.00,5.00,2.00,,9/1/20,72.00,6.00,1.00,,9/1/20,23.00,1.00,1.00,,9/1/20,55.00,2.00,1.00,,9/1/20,92.00,8.00,0.00
9/2/20,9/2/20,42.00,3.00,2.00,,9/2/20,69.00,8.00,1.00,,9/2/20,16.00,0.00,0.00,,9/2/20,48.00,1.00,1.00,,9/2/20,97.00,11.00,3.00
9/3/20,9/3/20,41.00,2.00,2.00,,9/3/20,89.00,8.00,1.00,,9/3/20,17.00,1.00,0.00,,9/3/20,35.00,1.00,1.00,,9/3/20,91.00,9.00,2.00
9/4/20,9/4/20,43.00,7.00,0.00,,9/4/20,58.00,10.00,2.00,,9/4/20,26.00,2.00,0.00,,9/4/20,30.00,2.00,1.00,,9/4/20,71.00,10.00,1.00
9/5/20,9/5/20,30.00,7.00,0.00,,9/5/20,33.00,3.00,0.00,,9/5/20,24.00,0.00,0.00,,9/5/20,23.00,1.00,0.00,,9/5/20,46.00,9.00,3.00
9/6/20,9/6/20,18.00,3.00,2.00,,9/6/20,60.00,6.00,2.00,,9/6/20,13.00,1.00,0.00,,9/6/20,27.00,1.00,1.00,,9/6/20,87.00,13.00,2.00
9/7/20,9/7/20,32.00,5.00,1.00,,9/7/20,52.00,8.00,1.00,,9/7/20,19.00,1.00,0.00,,9/7/20,41.00,4.00,1.00,,9/7/20,74.00,7.00,0.00
9/8/20,9/8/20,79.00,7.00,1.00,,9/8/20,95.00,7.00,0.00,,9/8/20,30.00,1.00,0.00,,9/8/20,58.00,1.00,0.00,,9/8/20,128.00,9.00,1.00
9/9/20,9/9/20,56.00,5.00,2.00,,9/9/20,82.00,9.00,1.00,,9/9/20,25.00,0.00,0.00,,9/9/20,58.00,3.00,0.00,,9/9/20,119.00,11.00,0.00
9/10/20,9/10/20,44.00,3.00,2.00,,9/10/20,70.00,9.00,1.00,,9/10/20,26.00,4.00,0.00,,9/10/20,55.00,2.00,0.00,,9/10/20,125.00,8.00,0.00
9/11/20,9/11/20,54.00,11.00,3.00,,9/11/20,77.00,7.00,0.00,,9/11/20,16.00,2.00,0.00,,9/11/20,48.00,6.00,0.00,,9/11/20,110.00,8.00,1.00
9/12/20,9/12/20,35.00,2.00,2.00,,9/12/20,61.00,4.00,3.00,,9/12/20,19.00,1.00,0.00,,9/12/20,36.00,3.00,0.00,,9/12/20,50.00,4.00,0.00
9/13/20,9/13/20,19.00,2.00,0.00,,9/13/20,65.00,5.00,1.00,,9/13/20,14.00,1.00,0.00,,9/13/20,39.00,1.00,0.00,,9/13/20,117.00,8.00,2.00
9/14/20,9/14/20,73.00,4.00,1.00,,9/14/20,96.00,5.00,2.00,,9/14/20,26.00,3.00,0.00,,9/14/20,59.00,4.00,0.00,,9/14/20,166.00,10.00,2.00
9/15/20,9/15/20,54.00,11.00,2.00,,9/15/20,71.00,5.00,1.00,,9/15/20,18.00,0.00,0.00,,9/15/20,43.00,5.00,0.00,,9/15/20,149.00,11.00,0.00
9/16/20,9/16/20,48.00,7.00,2.00,,9/16/20,81.00,12.00,3.00,,9/16/20,17.00,1.00,1.00,,9/16/20,49.00,3.00,1.00,,9/16/20,161.00,24.00,0.00
9/17/20,9/17/20,59.00,7.00,0.00,,9/17/20,92.00,5.00,1.00,,9/17/20,25.00,1.00,0.00,,9/17/20,48.00,5.00,1.00,,9/17/20,123.00,9.00,1.00
9/18/20,9/18/20,44.00,12.00,2.00,,9/18/20,66.00,5.00,0.00,,9/18/20,24.00,1.00,0.00,,9/18/20,38.00,5.00,0.00,,9/18/20,102.00,14.00,2.00
9/19/20,9/19/20,30.00,2.00,1.00,,9/19/20,53.00,7.00,1.00,,9/19/20,13.00,1.00,0.00,,9/19/20,26.00,6.00,1.00,,9/19/20,36.00,7.00,2.00
9/20/20,9/20/20,23.00,8.00,0.00,,9/20/20,28.00,4.00,1.00,,9/20/20,21.00,2.00,0.00,,9/20/20,25.00,4.00,1.00,,9/20/20,60.00,6.00,1.00
9/21/20,9/21/20,68.00,5.00,1.00,,9/21/20,114.00,5.00,0.00,,9/21/20,24.00,2.00,0.00,,9/21/20,57.00,1.00,1.00,,9/21/20,248.00,9.00,1.00
9/22/20,9/22/20,59.00,7.00,0.00,,9/22/20,100.00,11.00,0.00,,9/22/20,25.00,0.00,0.00,,9/22/20,34.00,1.00,0.00,,9/22/20,170.00,13.00,3.00
9/23/20,9/23/20,81.00,5.00,1.00,,9/23/20,103.00,8.00,0.00,,9/23/20,36.00,0.00,1.00,,9/23/20,59.00,1.00,1.00,,9/23/20,231.00,24.00,1.00
9/24/20,9/24/20,63.00,7.00,0.00,,9/24/20,86.00,6.00,0.00,,9/24/20,26.00,3.00,0.00,,9/24/20,55.00,5.00,1.00,,9/24/20,231.00,10.00,1.00
9/25/20,9/25/20,46.00,10.00,2.00,,9/25/20,123.00,11.00,1.00,,9/25/20,28.00,1.00,0.00,,9/25/20,57.00,5.00,1.00,,9/25/20,184.00,21.00,0.00
9/26/20,9/26/20,42.00,5.00,4.00,,9/26/20,60.00,11.00,1.00,,9/26/20,33.00,2.00,0.00,,9/26/20,29.00,4.00,0.00,,9/26/20,105.00,8.00,1.00
9/27/20,9/27/20,32.00,5.00,0.00,,9/27/20,100.00,8.00,0.00,,9/27/20,28.00,3.00,0.00,,9/27/20,34.00,2.00,0.00,,9/27/20,179.00,16.00,2.00
9/28/20,9/28/20,79.00,5.00,1.00,,9/28/20,109.00,15.00,1.00,,9/28/20,46.00,2.00,0.00,,9/28/20,57.00,2.00,0.00,,9/28/20,138.00,13.00,2.00
9/29/20,9/29/20,64.00,6.00,3.00,,9/29/20,168.00,12.00,2.00,,9/29/20,34.00,3.00,0.00,,9/29/20,81.00,8.00,0.00,,9/29/20,327.00,16.00,3.00
9/30/20,9/30/20,53.00,1.00,2.00,,9/30/20,133.00,6.00,0.00,,9/30/20,40.00,0.00,0.00,,9/30/20,85.00,7.00,1.00,,9/30/20,270.00,31.00,4.00
10/1/20,10/1/20,74.00,3.00,0.00,,10/1/20,135.00,4.00,4.00,,10/1/20,26.00,1.00,0.00,,10/1/20,86.00,5.00,0.00,,10/1/20,289.00,20.00,1.00
10/2/20,10/2/20,78.00,4.00,2.00,,10/2/20,138.00,10.00,1.00,,10/2/20,34.00,2.00,0.00,,10/2/20,72.00,5.00,0.00,,10/2/20,259.00,24.00,1.00
10/3/20,10/3/20,35.00,2.00,1.00,,10/3/20,95.00,5.00,2.00,,10/3/20,17.00,2.00,1.00,,10/3/20,44.00,3.00,0.00,,10/3/20,79.00,9.00,1.00
10/4/20,10/4/20,32.00,5.00,0.00,,10/4/20,81.00,11.00,2.00,,10/4/20,24.00,3.00,1.00,,10/4/20,29.00,4.00,0.00,,10/4/20,164.00,23.00,3.00
10/5/20,10/5/20,89.00,9.00,3.00,,10/5/20,189.00,19.00,0.00,,10/5/20,39.00,2.00,0.00,,10/5/20,82.00,2.00,0.00,,10/5/20,431.00,21.00,0.00
10/6/20,10/6/20,69.00,7.00,0.00,,10/6/20,139.00,8.00,1.00,,10/6/20,29.00,2.00,0.00,,10/6/20,70.00,8.00,0.00,,10/6/20,248.00,20.00,1.00
10/7/20,10/7/20,75.00,8.00,1.00,,10/7/20,124.00,9.00,1.00,,10/7/20,37.00,1.00,0.00,,10/7/20,69.00,5.00,1.00,,10/7/20,215.00,18.00,1.00
10/8/20,10/8/20,78.00,7.00,1.00,,10/8/20,114.00,6.00,2.00,,10/8/20,32.00,3.00,0.00,,10/8/20,79.00,6.00,0.00,,10/8/20,209.00,15.00,2.00
10/9/20,10/9/20,92.00,4.00,2.00,,10/9/20,139.00,14.00,0.00,,10/9/20,28.00,2.00,0.00,,10/9/20,64.00,2.00,0.00,,10/9/20,171.00,26.00,0.00
10/10/20,10/10/20,36.00,5.00,0.00,,10/10/20,94.00,3.00,2.00,,10/10/20,29.00,5.00,1.00,,10/10/20,41.00,3.00,0.00,,10/10/20,93.00,19.00,0.00
10/11/20,10/11/20,38.00,12.00,3.00,,10/11/20,80.00,9.00,0.00,,10/11/20,13.00,0.00,0.00,,10/11/20,27.00,5.00,2.00,,10/11/20,106.00,16.00,2.00
10/12/20,10/12/20,53.00,1.00,1.00,,10/12/20,90.00,10.00,1.00,,10/12/20,23.00,0.00,0.00,,10/12/20,51.00,5.00,2.00,,10/12/20,163.00,23.00,0.00
10/13/20,10/13/20,91.00,7.00,0.00,,10/13/20,91.00,4.00,0.00,,10/13/20,30.00,4.00,0.00,,10/13/20,55.00,1.00,0.00,,10/13/20,146.00,14.00,3.00
10/14/20,10/14/20,90.00,1.00,0.00,,10/14/20,22.00,19.00,0.00,,10/14/20,33.00,6.00,0.00,,10/14/20,13.00,1.00,0.00,,10/14/20,43.00,21.00,3.00
10/15/20,10/15/20,91.00,2.00,2.00,,10/15/20,142.00,19.00,3.00,,10/15/20,39.00,2.00,0.00,,10/15/20,3.00,0.00,0.00,,10/15/20,235.00,35.00,2.00
10/16/20,10/16/20,76.00,8.00,1.00,,10/16/20,132.00,10.00,1.00,,10/16/20,37.00,5.00,0.00,,10/16/20,90.00,4.00,1.00,,10/16/20,163.00,19.00,3.00
10/17/20,10/17/20,64.00,8.00,2.00,,10/17/20,107.00,11.00,1.00,,10/17/20,39.00,6.00,0.00,,10/17/20,60.00,4.00,0.00,,10/17/20,88.00,10.00,3.00
10/18/20,10/18/20,45.00,5.00,2.00,,10/18/20,117.00,13.00,0.00,,10/18/20,33.00,3.00,1.00,,10/18/20,37.00,3.00,0.00,,10/18/20,175.00,18.00,1.00
10/19/20,10/19/20,104.00,9.00,0.00,,10/19/20,176.00,16.00,0.00,,10/19/20,35.00,4.00,1.00,,10/19/20,100.00,7.00,0.00,,10/19/20,204.00,25.00,6.00
10/20/20,10/20/20,91.00,9.00,1.00,,10/20/20,150.00,22.00,3.00,,10/20/20,38.00,3.00,0.00,,10/20/20,101.00,7.00,0.00,,10/20/20,215.00,30.00,2.00
10/21/20,10/21/20,96.00,11.00,0.00,,10/21/20,187.00,11.00,0.00,,10/21/20,50.00,5.00,1.00,,10/21/20,115.00,7.00,1.00,,10/21/20,200.00,16.00,3.00
10/22/20,10/22/20,119.00,7.00,0.00,,10/22/20,173.00,14.00,0.00,,10/22/20,75.00,4.00,0.00,,10/22/20,131.00,9.00,0.00,,10/22/20,242.00,11.00,2.00
10/23/20,10/23/20,113.00,10.00,1.00,,10/23/20,158.00,17.00,1.00,,10/23/20,46.00,4.00,1.00,,10/23/20,78.00,3.00,1.00,,10/23/20,195.00,23.00,0.00
10/24/20,10/24/20,69.00,10.00,0.00,,10/24/20,101.00,8.00,1.00,,10/24/20,32.00,4.00,0.00,,10/24/20,57.00,6.00,0.00,,10/24/20,116.00,23.00,0.00
10/25/20,10/25/20,66.00,8.00,3.00,,10/25/20,85.00,7.00,0.00,,10/25/20,30.00,4.00,1.00,,10/25/20,50.00,2.00,2.00,,10/25/20,128.00,22.00,3.00
10/26/20,10/26/20,129.00,7.00,0.00,,10/26/20,152.00,22.00,1.00,,10/26/20,68.00,5.00,0.00,,10/26/20,116.00,6.00,1.00,,10/26/20,216.00,12.00,1.00
10/27/20,10/27/20,117.00,8.00,3.00,,10/27/20,179.00,7.00,1.00,,10/27/20,76.00,3.00,0.00,,10/27/20,118.00,3.00,1.00,,10/27/20,231.00,21.00,3.00
10/28/20,10/28/20,123.00,8.00,0.00,,10/28/20,193.00,9.00,0.00,,10/28/20,87.00,3.00,1.00,,10/28/20,128.00,2.00,0.00,,10/28/20,219.00,16.00,3.00
10/29/20,10/29/20,94.00,9.00,0.00,,10/29/20,151.00,9.00,1.00,,10/29/20,50.00,5.00,0.00,,10/29/20,109.00,6.00,1.00,,10/29/20,183.00,15.00,2.00
10/30/20,10/30/20,113.00,12.00,2.00,,10/30/20,149.00,15.00,1.00,,10/30/20,71.00,5.00,2.00,,10/30/20,99.00,7.00,2.00,,10/30/20,186.00,11.00,4.00
10/31/20,10/31/20,59.00,7.00,0.00,,10/31/20,116.00,13.00,2.00,,10/31/20,47.00,3.00,0.00,,10/31/20,53.00,6.00,0.00,,10/31/20,108.00,11.00,2.00
11/1/20,11/1/20,53.00,9.00,2.00,,11/1/20,96.00,6.00,0.00,,11/1/20,40.00,7.00,1.00,,11/1/20,62.00,9.00,0.00,,11/1/20,219.00,17.00,7.00
11/2/20,11/2/20,152.00,15.00,1.00,,11/2/20,208.00,10.00,1.00,,11/2/20,85.00,3.00,0.00,,11/2/20,137.00,9.00,1.00,,11/2/20,329.00,17.00,6.00
11/3/20,11/3/20,143.00,12.00,3.00,,11/3/20,173.00,14.00,2.00,,11/3/20,87.00,1.00,0.00,,11/3/20,145.00,9.00,2.00,,11/3/20,276.00,21.00,5.00
11/4/20,11/4/20,175.00,10.00,0.00,,11/4/20,254.00,9.00,1.00,,11/4/20,129.00,4.00,1.00,,11/4/20,178.00,8.00,0.00,,11/4/20,291.00,22.00,5.00
11/5/20,11/5/20,165.00,11.00,4.00,,11/5/20,274.00,17.00,1.00,,11/5/20,94.00,9.00,0.00,,11/5/20,179.00,10.00,0.00,,11/5/20,267.00,20.00,4.00
11/6/20,11/6/20,128.00,8.00,3.00,,11/6/20,252.00,11.00,3.00,,11/6/20,109.00,1.00,1.00,,11/6/20,143.00,13.00,0.00,,11/6/20,187.00,15.00,2.00
11/7/20,11/7/20,88.00,14.00,1.00,,11/7/20,189.00,19.00,2.00,,11/7/20,74.00,3.00,1.00,,11/7/20,84.00,7.00,0.00,,11/7/20,149.00,8.00,3.00
11/8/20,11/8/20,95.00,6.00,2.00,,11/8/20,189.00,9.00,2.00,,11/8/20,97.00,10.00,1.00,,11/8/20,124.00,1.00,0.00,,11/8/20,180.00,7.00,0.00