DATE_OF_INTEREST,Case,Hospitalizations,Deaths
2/29/20,1,0,0
3/3/20,0,0,0
3/4/20,2,1,0
3/5/20,0,3,0
3/6/20,3,1,0
3/7/20,1,1,0
3/8/20,6,1,0
3/9/20,24,7,0
3/10/20,24,12,0
3/11/20,62,16,0
3/12/20,137,12,0
3/13/20,182,30,0
3/14/20,176,28,0
3/15/20,206,32,2
3/16/20,457,43,0
3/17/20,567,67,0
3/18/20,538,82,4
3/19/20,556,96,4
3/20/20,653,116,11
3/21/20,400,119,5
3/22/20,317,133,8
3/23/20,532,189,7
3/24/20,620,208,17
3/25/20,591,204,20
3/26/20,628,233,33
3/27/20,656,218,42
3/28/20,388,205,28
3/29/20,408,165,35
3/30/20,806,278,34
3/31/20,617,238,43
4/1/20,573,210,59
4/2/20,652,247,62
4/3/20,672,266,51
4/4/20,382,211,64
4/5/20,358,195,86
4/6/20,722,267,69
4/7/20,605,203,92
4/8/20,547,185,66
4/9/20,559,204,65
4/10/20,497,203,69
4/11/20,303,136,59
4/12/20,253,142,62
4/13/20,394,195,71
4/14/20,441,173,59
4/15/20,429,153,55
4/16/20,356,120,56
4/17/20,330,119,41
4/18/20,187,95,57
4/19/20,177,76,48
4/20/20,381,91,49
4/21/20,372,100,47
4/22/20,383,107,37
4/23/20,401,67,47
4/24/20,408,84,47
4/25/20,147,47,41
4/26/20,98,48,34
4/27/20,303,62,30
4/28/20,322,65,35
4/29/20,287,44,33
4/30/20,217,37,35
5/1/20,243,39,24
5/2/20,139,21,23
5/3/20,103,35,35
5/4/20,214,38,19
5/5/20,244,31,18
5/6/20,165,26,17
5/7/20,118,21,23
5/8/20,99,23,13
5/9/20,75,17,15
5/10/20,95,22,19
5/11/20,193,24,14
5/12/20,164,22,14
5/13/20,157,21,8
5/14/20,148,22,16
5/15/20,135,23,11
5/16/20,52,12,10
5/17/20,50,8,11
5/18/20,132,23,9
5/19/20,167,22,10
5/20/20,165,13,12
5/21/20,146,8,6
5/22/20,152,15,5
5/23/20,49,7,7
5/24/20,68,18,6
5/25/20,70,17,12
5/26/20,126,10,6
5/27/20,108,14,9
5/28/20,99,10,3
5/29/20,73,12,5
5/30/20,38,7,12
5/31/20,25,9,4
6/1/20,77,12,3
6/2/20,71,11,8
6/3/20,78,13,7
6/4/20,88,10,8
6/5/20,54,11,7
6/6/20,32,5,2
6/7/20,25,9,1
6/8/20,75,9,2
6/9/20,67,9,9
6/10/20,69,13,1
6/11/20,54,9,2
6/12/20,58,8,3
6/13/20,24,5,3
6/14/20,28,6,2
6/15/20,59,4,3
6/16/20,67,7,3
6/17/20,65,8,3
6/18/20,58,6,4
6/19/20,56,6,4
6/20/20,44,5,2
6/21/20,26,6,4
6/22/20,62,7,4
6/23/20,77,5,5
6/24/20,73,7,3
6/25/20,46,6,4
6/26/20,63,4,6
6/27/20,37,6,2
6/28/20,41,3,7
6/29/20,80,3,2
6/30/20,95,9,4
7/1/20,83,8,2
7/2/20,81,6,9
7/3/20,48,7,2
7/4/20,32,9,2
7/5/20,32,6,3
7/6/20,78,6,4
7/7/20,88,9,2
7/8/20,120,7,3
7/9/20,86,7,2
7/10/20,49,1,1
7/11/20,46,5,4
7/12/20,42,3,0
7/13/20,79,7,5
7/14/20,80,7,2
7/15/20,70,4,1
7/16/20,89,6,2
7/17/20,111,9,3
7/18/20,37,6,2
7/19/20,34,2,3
7/20/20,80,4,2
7/21/20,68,2,0
7/22/20,60,4,0
7/23/20,65,12,0
7/24/20,56,5,0
7/25/20,34,3,1
7/26/20,18,6,0
7/27/20,73,6,1
7/28/20,58,2,2
7/29/20,56,6,1
7/30/20,44,3,1
7/31/20,51,9,1
8/1/20,33,5,1
8/2/20,25,4,0
8/3/20,56,6,1
8/4/20,38,5,1
8/5/20,47,2,3
8/6/20,55,5,1
8/7/20,50,4,0
8/8/20,23,1,4
8/9/20,18,4,0
8/10/20,49,3,1
8/11/20,42,1,2
8/12/20,42,7,0
8/13/20,51,7,0
8/14/20,44,5,1
8/15/20,25,1,2
8/16/20,22,1,0
8/17/20,55,4,1
8/18/20,62,2,0
8/19/20,52,9,0
8/20/20,34,4,0
8/21/20,51,5,0
8/22/20,30,6,1
8/23/20,16,3,1
8/24/20,50,7,1
8/25/20,54,6,0
8/26/20,51,2,1
8/27/20,48,2,0
8/28/20,51,2,1
8/29/20,23,0,0
8/30/20,36,4,0
8/31/20,51,4,0
9/1/20,55,2,1
9/2/20,48,1,1
9/3/20,35,1,1
9/4/20,30,2,1
9/5/20,23,1,0
9/6/20,27,1,1
9/7/20,41,4,1
9/8/20,58,1,0
9/9/20,58,3,0
9/10/20,55,2,0
9/11/20,48,6,0
9/12/20,36,3,0
9/13/20,39,1,0
9/14/20,59,4,0
9/15/20,43,5,0
9/16/20,49,3,1
9/17/20,48,5,1
9/18/20,38,5,0
9/19/20,26,6,1
9/20/20,25,4,1
9/21/20,57,1,1
9/22/20,34,1,0
9/23/20,59,1,1
9/24/20,55,5,1
9/25/20,57,5,1
9/26/20,29,4,0
9/27/20,34,2,0
9/28/20,57,2,0
9/29/20,81,8,0
9/30/20,85,7,1
10/1/20,86,5,0
10/2/20,72,5,0
10/3/20,44,3,0
10/4/20,29,4,0
10/5/20,82,2,0
10/6/20,70,8,0
10/7/20,69,5,1
10/8/20,79,6,0
10/9/20,64,2,0
10/10/20,41,3,0
10/11/20,27,5,2
10/12/20,51,5,2
10/13/20,55,1,0
10/14/20,13,1,0
10/15/20,3,0,0
10/16/20,90,4,1
10/17/20,60,4,0
10/18/20,37,3,0
10/19/20,100,7,0
10/20/20,101,7,0
10/21/20,115,7,1
10/22/20,131,9,0
10/23/20,78,3,1
10/24/20,57,6,0
10/25/20,50,2,2
10/26/20,116,6,1
10/27/20,118,3,1
10/28/20,128,2,0
10/29/20,109,6,1
10/30/20,99,7,2
10/31/20,53,6,0
11/1/20,62,9,0
11/2/20,137,9,1
11/3/20,145,9,2
11/4/20,178,8,0
11/5/20,179,10,0
11/6/20,143,13,0
11/7/20,84,7,0
11/8/20,124,1,0