DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
2/29/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,1,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,3,1,0
3/10/20,2,4,0
3/11/20,3,2,0
3/12/20,13,2,0
3/13/20,26,3,0
3/14/20,23,6,0
3/15/20,47,16,1
3/16/20,91,16,0
3/17/20,108,19,0
3/18/20,150,24,0
3/19/20,258,28,4
3/20/20,310,31,3
3/21/20,248,35,1
3/22/20,317,29,6
3/23/20,209,50,8
3/24/20,350,47,6
3/25/20,394,52,4
3/26/20,404,52,10
3/27/20,371,64,7
3/28/20,266,53,13
3/29/20,230,58,17
3/30/20,398,74,11
3/31/20,237,69,22
4/1/20,263,76,16
4/2/20,369,83,30
4/3/20,345,66,29
4/4/20,345,54,20
4/5/20,323,68,22
4/6/20,730,82,24
4/7/20,630,71,28
4/8/20,562,59,34
4/9/20,298,54,25
4/10/20,300,57,19
4/11/20,312,51,28
4/12/20,253,46,26
4/13/20,185,57,25
4/14/20,290,49,24
4/15/20,317,37,24
4/16/20,210,40,14
4/17/20,280,36,15
4/18/20,153,26,19
4/19/20,134,32,19
4/20/20,224,30,16
4/21/20,216,26,11
4/22/20,173,19,14
4/23/20,128,21,13
4/24/20,143,32,14
4/25/20,88,22,9
4/26/20,46,17,7
4/27/20,106,20,9
4/28/20,130,20,8
4/29/20,124,15,14
4/30/20,130,14,11
5/1/20,78,9,8
5/2/20,61,18,12
5/3/20,35,12,15
5/4/20,89,16,8
5/5/20,79,13,12
5/6/20,60,17,8
5/7/20,60,13,4
5/8/20,42,12,5
5/9/20,32,7,3
5/10/20,14,6,8
5/11/20,27,2,3
5/12/20,53,11,6
5/13/20,47,14,6
5/14/20,42,11,6
5/15/20,33,7,6
5/16/20,25,5,2
5/17/20,10,5,2
5/18/20,38,6,2
5/19/20,42,5,5
5/20/20,56,4,7
5/21/20,78,9,3
5/22/20,32,4,5
5/23/20,37,4,2
5/24/20,15,5,5
5/25/20,17,3,3
5/26/20,57,2,1
5/27/20,43,4,2
5/28/20,30,6,1
5/29/20,27,4,2
5/30/20,16,2,1
5/31/20,12,0,2
6/1/20,42,3,3
6/2/20,34,5,1
6/3/20,45,4,3
6/4/20,30,2,2
6/5/20,8,2,1
6/6/20,7,2,0
6/7/20,4,4,1
6/8/20,20,2,0
6/9/20,19,3,2
6/10/20,14,3,2
6/11/20,16,2,1
6/12/20,18,2,0
6/13/20,2,1,1
6/14/20,4,0,2
6/15/20,18,0,2
6/16/20,20,1,0
6/17/20,17,0,0
6/18/20,25,2,2
6/19/20,9,0,2
6/20/20,6,1,2
6/21/20,9,2,2
6/22/20,18,2,3
6/23/20,16,2,0
6/24/20,14,3,1
6/25/20,28,3,2
6/26/20,16,2,1
6/27/20,13,2,1
6/28/20,11,0,2
6/29/20,23,2,3
6/30/20,29,2,2
7/1/20,39,0,1
7/2/20,17,0,4
7/3/20,8,1,2
7/4/20,12,1,1
7/5/20,12,0,0
7/6/20,28,2,0
7/7/20,32,1,1
7/8/20,25,1,4
7/9/20,18,1,0
7/10/20,13,3,1
7/11/20,13,0,0
7/12/20,13,0,0
7/13/20,35,4,0
7/14/20,19,1,0
7/15/20,22,2,0
7/16/20,35,3,0
7/17/20,22,1,0
7/18/20,19,1,0
7/19/20,17,2,0
7/20/20,32,3,0
7/21/20,21,3,0
7/22/20,20,2,0
7/23/20,27,4,0
7/24/20,28,2,1
7/25/20,13,4,0
7/26/20,19,2,0
7/27/20,26,1,0
7/28/20,18,3,0
7/29/20,13,2,1
7/30/20,12,1,0
7/31/20,18,2,0
8/1/20,7,2,0
8/2/20,8,4,0
8/3/20,19,1,0
8/4/20,7,1,0
8/5/20,15,0,0
8/6/20,18,2,0
8/7/20,6,0,0
8/8/20,7,1,0
8/9/20,12,1,0
8/10/20,22,2,0
8/11/20,18,3,0
8/12/20,18,2,0
8/13/20,12,0,0
8/14/20,16,2,1
8/15/20,9,2,0
8/16/20,7,1,0
8/17/20,14,0,1
8/18/20,14,2,0
8/19/20,18,0,0
8/20/20,20,1,0
8/21/20,14,0,0
8/22/20,7,0,1
8/23/20,7,1,0
8/24/20,15,2,1
8/25/20,12,0,0
8/26/20,16,3,0
8/27/20,13,2,0
8/28/20,21,1,0
8/29/20,7,1,1
8/30/20,24,4,0
8/31/20,21,0,0
9/1/20,23,1,1
9/2/20,16,0,0
9/3/20,17,1,0
9/4/20,26,2,0
9/5/20,24,0,0
9/6/20,13,1,0
9/7/20,19,1,0
9/8/20,30,1,0
9/9/20,25,0,0
9/10/20,26,4,0
9/11/20,16,2,0
9/12/20,19,1,0
9/13/20,14,1,0
9/14/20,26,3,0
9/15/20,18,0,0
9/16/20,17,1,1
9/17/20,25,1,0
9/18/20,24,1,0
9/19/20,13,1,0
9/20/20,21,2,0
9/21/20,24,2,0
9/22/20,25,0,0
9/23/20,36,0,1
9/24/20,26,3,0
9/25/20,28,1,0
9/26/20,33,2,0
9/27/20,28,3,0
9/28/20,46,2,0
9/29/20,34,3,0
9/30/20,40,0,0
10/1/20,26,1,0
10/2/20,34,2,0
10/3/20,17,2,1
10/4/20,24,3,1
10/5/20,39,2,0
10/6/20,29,2,0
10/7/20,37,1,0
10/8/20,32,3,0
10/9/20,28,2,0
10/10/20,29,5,1
10/11/20,13,0,0
10/12/20,23,0,0
10/13/20,30,4,0
10/14/20,33,6,0
10/15/20,39,2,0
10/16/20,37,5,0
10/17/20,39,6,0
10/18/20,33,3,1
10/19/20,35,4,1
10/20/20,38,3,0
10/21/20,50,5,1
10/22/20,75,4,0
10/23/20,46,4,1
10/24/20,32,4,0
10/25/20,30,4,1
10/26/20,68,5,0
10/27/20,76,3,0
10/28/20,87,3,1
10/29/20,50,5,0
10/30/20,71,5,2
10/31/20,47,3,0
11/1/20,40,7,1
11/2/20,85,3,0
11/3/20,87,1,0
11/4/20,129,4,1
11/5/20,94,9,0
11/6/20,109,1,1
11/7/20,74,3,1
11/8/20,97,10,1