Town,Address,Sale Price,Sale Date
NEW BRIGHTON,170 DANIEL LOW TERRACE,660000,12/10/19
NEW BRIGHTON,N/A VAN BUREN STREET,300000,12/10/19
NEW BRIGHTON,N/A VAN BUREN STREET,300000,12/10/19
PRINCES BAY,139 COMMODORE DRIVE,475000,12/10/19
ROSEBANK,332 MARYLAND AVENUE,630000,12/10/19
ROSSVILLE,242 ALVERSON AVENUE,895000,12/10/19
STAPLETON,45 TARGEE STREET,280000,12/10/19
TOMPKINSVILLE,55 WILLIS AVENUE,481650,12/10/19
TOTTENVILLE,156 YETMAN AVENUE,375000,12/10/19
TOTTENVILLE,142 SPRAGUE AVENUE,941881,12/10/19
TRAVIS,271D SIGNS ROAD,430000,12/10/19
WOODROW,64 BERKSHIRE LANE,762669,12/10/19
ANNADALE,N/A AMBOY ROAD,300000,12/11/19
ARDEN HEIGHTS,50 LEGATE AVENUE,1050000,12/11/19
ARROCHAR,40 HASTINGS STREET,1500000,12/11/19
CLOVE LAKES,156 WHITEWOOD AVENUE,500,12/11/19
ELTINGVILLE,546 CARLTON BOULEVARD,940000,12/11/19
GREAT KILLS,375 DOANE AVENUE,495000,12/11/19
GREAT KILLS,"27 KATAN AVENUE, A",319300,12/11/19
MANOR HEIGHTS,48 TILLMAN STREET,630000,12/11/19
MANOR HEIGHTS,263 GANSEVOORT BOULEVARD,720000,12/11/19
MARINERS HARBOR,62-64 HARBOR ROAD,794235,12/11/19
MIDLAND BEACH,344 SEAVER AVENUE,344760,12/11/19
MIDLAND BEACH,341 BEDFORD AVENUE,160000,12/11/19
NEW DORP,203 JACQUES AVENUE,640000,12/11/19
NEW SPRINGVILLE,186 BRAISTED AVENUE,555000,12/11/19
PORT RICHMOND,107 SIMONSON PLACE,475000,12/11/19
PORT RICHMOND,319 NICHOLAS AVENUE,740000,12/11/19
ROSEBANK,102 DONLEY AVENUE,692410,12/11/19
ROSEBANK,14 BRIDGE COURT,530000,12/11/19
ROSSVILLE,60 DAHLIA STREET,1125000,12/11/19
TOMPKINSVILLE,236 VICTORY BLVD,230000,12/11/19
TOTTENVILLE,12 SEA BREEZE LANE,310356,12/11/19
WEST NEW BRIGHTON,45 WEST STREET,640000,12/11/19
WESTERLEIGH,84 VOGEL LOOP,313849,12/11/19
ARDEN HEIGHTS,24 LEGATE AVENUE,440000,12/12/19
BULLS HEAD,22 CALCAGNO COURT,420300,12/12/19
BULLS HEAD,15 OLIVER PLACE,660000,12/12/19
CASTLETON CORNERS,24 GARDEN STREET,437750,12/12/19
ELTINGVILLE,105 RETFORD,575000,12/12/19
ELTINGVILLE,19 BRANDIS AVENUE,445000,12/12/19
GRANT CITY,233 BUEL AVENUE,592000,12/12/19
GREAT KILLS,15 ELK COURT,440000,12/12/19
GREAT KILLS-BAY TERRACE,85 SPRATT AVENUE,639998,12/12/19
MARINERS HARBOR,2512 RICHMOND TERRACE,501930,12/12/19
MARINERS HARBOR,55 SIMONSON AVENUE,500000,12/12/19
MARINERS HARBOR,27 ANDROS AVENUE,462500,12/12/19
MARINERS HARBOR,345 SOUTH AVENUE,400000,12/12/19
MIDLAND BEACH,268 GRIMSBY STREET,529389,12/12/19
NEW DORP,360 BEACH AVENUE,642000,12/12/19
NEW SPRINGVILLE,236 MONAHAN AVENUE,600000,12/12/19
NEW SPRINGVILLE,15 BORMAN AVENUE,662150,12/12/19
NEW SPRINGVILLE,192 LEWISTON STREET,850000,12/12/19
OAKWOOD,1746 SOUTH RAILROAD AVE,575000,12/12/19
PORT RICHMOND,196 LEXINGTON AVENUE,574034,12/12/19
PORT RICHMOND,37 NEWARK AVENUE,324000,12/12/19
PORT RICHMOND,35 MITCHEL LANE,642035,12/12/19
PORT RICHMOND,264 JEWETT AVENUE,550000,12/12/19
PRINCES BAY,103 EXCELSIOR AVENUE,915800,12/12/19
RICHMONDTOWN,361 ARDSLEY STREET,1200000,12/12/19
ROSEBANK,N/A HOPE AVENUE,375000,12/12/19
ROSSVILLE-RICHMOND VALLEY,N/A COLE STREET,225000,12/12/19
STAPLETON,80 BROAD STREET,410000,12/12/19
TOTTENVILLE,65 GIEGERICH AVENUE,616041,12/12/19
WEST NEW BRIGHTON,35 FLOYD STREET,570000,12/12/19
WESTERLEIGH,248 WILLOWBROOK ROAD,610000,12/12/19
WESTERLEIGH,138 VEDDER AVENUE,475000,12/12/19
ANNADALE,525 SYCAMORE STREET,775000,12/13/19
ARROCHAR-SHORE ACRES,107 ABBOTT STREET,585000,12/13/19
BULLS HEAD,189 JULES DRIVE,439000,12/13/19
ELTINGVILLE,N/A STAFFORD AVENUE,763688,12/13/19
GREAT KILLS,278 PACIFIC AVENUE,530000,12/13/19
GREAT KILLS,37 PEMBERTON AVENUE,450000,12/13/19
GREAT KILLS,"3871 AMBOY ROAD, 1B",367500,12/13/19
HUGUENOT,871 RENSSELAER AVENUE,575555,12/13/19
MANOR HEIGHTS,51 LIVINGSTON AVENUE,350000,12/13/19
NEW SPRINGVILLE,42 FREEDOM AVENUE,10,12/13/19
NEW SPRINGVILLE,119 KELLY BOULEVARD,660000,12/13/19
PORT IVORY,16 BETTY COURT,320000,12/13/19
ROSEBANK,754 TOMPKINS AVENUE,365000,12/13/19
ROSSVILLE,97 MALLOW STREET,76050,12/13/19
SOUTH BEACH,78 OLYMPIA BOULEVARD,610000,12/13/19
STAPLETON,36 THELMA COURT,100000,12/13/19
WEST NEW BRIGHTON,217 TAYLOR STREET,10,12/13/19
WESTERLEIGH,53 RUTH STREET,600000,12/13/19
WESTERLEIGH,65 COLLFIELD AVENUE,322000,12/13/19
ROSSVILLE,88 LUCILLE AVENUE,780000,12/15/19
ARDEN HEIGHTS,10 WINSTON STREET,542500,12/16/19
ARROCHAR-SHORE ACRES,"20 CLIFF STREET, 3N",370000,12/16/19
BULLS HEAD,27 SIDEVIEW AVENUE,505000,12/16/19
BULLS HEAD,N/A SIDEVIEW AVENUE,505000,12/16/19
CLOVE LAKES,537 BROADWAY,470000,12/16/19
CLOVE LAKES,260 HARVEST AVENUE,679000,12/16/19
CONCORD,59 PRINCE STREET,345000,12/16/19
CONCORD,536 TARGEE STREET,375000,12/16/19
DONGAN HILLS,269 ATLANTIC AVENUE,619500,12/16/19
ELTINGVILLE,27 ORCHARD LANE,509500,12/16/19
ELTINGVILLE,23 VINELAND AVENUE,564900,12/16/19
GRANT CITY,1051 NORTH RAILROAD AVE,475000,12/16/19
GREAT KILLS,159 TANGLEWOOD DRIVE,443625,12/16/19
GREAT KILLS,358 GREAT KILLS ROAD,802593,12/16/19
GREAT KILLS,116 SYCAMORE STREET,475000,12/16/19
GREAT KILLS,54 SEACREST AVENUE,552052,12/16/19
GREAT KILLS,301 ELTINGVILLE BLVD,525000,12/16/19
HUGUENOT,104 HAWLEY AVENUE,665000,12/16/19
LIVINGSTON,77 WALNUT STREET,550000,12/16/19
MARINERS HARBOR,N/A MAPLE PARKWAY,545000,12/16/19
MIDLAND BEACH,337 LIBERTY AVENUE,480000,12/16/19
NEW BRIGHTON,48 EADIE PLACE,519043,12/16/19
NEW BRIGHTON,35-37 CORSON AVENUE,920000,12/16/19
NEW DORP-HEIGHTS,113 SUMMIT AVENUE,499000,12/16/19
NEW SPRINGVILLE,189 MERRYMOUNT STREET,597000,12/16/19
OAKWOOD,8 PENN AVENUE,670000,12/16/19
OAKWOOD-BEACH,405 LYNN STREET,509000,12/16/19
OAKWOOD-BEACH,489 LYNN STREET,575000,12/16/19
PORT IVORY,"60 POND WAY, 60",370807,12/16/19
PRINCES BAY,81 MANEE AVENUE,6000,12/16/19
ROSEBANK,235 SAINT JOHNS AVENUE,745000,12/16/19
ROSSVILLE,72 REDWOOD LOOP,450000,12/16/19
SOUTH BEACH,72 VULCAN STREET,620000,12/16/19
SUNNYSIDE,"830 HOWARD AVENUE, 1E",211500,12/16/19
TRAVIS,111 BURKE AVENUE,646589,12/16/19
WILLOWBROOK,220 S. MANN AVENUE,632000,12/16/19
WILLOWBROOK,771 WOOLLEY AVENUE,510000,12/16/19
WILLOWBROOK,80 DAWSON STREET,590000,12/16/19
WILLOWBROOK,40 WASHINGTON AVE,573000,12/16/19
WOODROW,107 LORRAINE LOOP,445000,12/16/19
WOODROW,21 SONIA COURT,560000,12/16/19
WOODROW,105 BERKSHIRE LANE,150000,12/16/19
ARDEN HEIGHTS,227 HAMPTON GREEN,492000,12/17/19
ARDEN HEIGHTS,91 GREEN VALLEY ROAD,625000,12/17/19
ARDEN HEIGHTS,133 GREEN VALLEY ROAD,385000,12/17/19
BULLS HEAD,43 DOREEN DRIVE,400000,12/17/19
BULLS HEAD,33 ALBERT COURT,480000,12/17/19
BULLS HEAD,11 BERGLUND AVENUE,720000,12/17/19
BULLS HEAD,"404A LISK AVENUE, 179",245000,12/17/19
CLOVE LAKES,96 HARTFORD AVENUE,500000,12/17/19
GRANT CITY,232 HUNTER AVENUE,515000,12/17/19
GREAT KILLS,185 ESCANABA AVENUE,407500,12/17/19
MANOR HEIGHTS,59 CROAK AVENUE,610000,12/17/19
MANOR HEIGHTS,222 MOUNTAINVIEW AVENUE,673000,12/17/19
MARINERS HARBOR,24 WENLOCK STREET,550000,12/17/19
MIDLAND BEACH,36 ZWICKY AVENUE,659000,12/17/19
MIDLAND BEACH,591 HUNTER AVENUE,455000,12/17/19
NEW BRIGHTON,120 SCRIBNER AVENUE,302172,12/17/19
NEW SPRINGVILLE,33 SHALE STREET,650000,12/17/19
PORT RICHMOND,1680 CASTLETON AVENUE,658177,12/17/19
PORT RICHMOND,20 NICHOLAS AVENUE,539673,12/17/19
PRINCES BAY,5790 HYLAN BOULEVARD,849000,12/17/19
SILVER LAKE,561 BARD AVENUE,660000,12/17/19
TOTTENVILLE,182 WOOD AVENUE,500000,12/17/19
TOTTENVILLE,138 LEE AVENUE,845000,12/17/19
WESTERLEIGH,400 COLLFIELD AVENUE,590000,12/17/19
ANNADALE,314 SHELDON AVE,765000,12/18/19
ANNADALE,61 DELMAR AVENUE,895000,12/18/19
ARDEN HEIGHTS,37 REGINA LANE,10,12/18/19
ARDEN HEIGHTS,"385 ROLLING HILL GREEN, N/A",480000,12/18/19
BULLS HEAD,10A GREENTREE LANE,395000,12/18/19
BULLS HEAD,341 HILLMAN AVENUE,495000,12/18/19
DONGAN HILLS,16 RARITAN AVENUE,575000,12/18/19
ELTINGVILLE,137 STROUD AVENUE,600000,12/18/19
GREAT KILLS,111 MONTICELLO TERRACE,620000,12/18/19
GREAT KILLS,62 TIMBER RIDGE,395000,12/18/19
GREAT KILLS,"28 FENWAY CIRCLE, 2-3",285000,12/18/19
HUGUENOT,20 VEITH PLACE,389000,12/18/19
HUGUENOT,796 RENSSELAER AVENUE,644800,12/18/19
LIVINGSTON,475 HENDERSON AVENUE,575000,12/18/19
MARINERS HARBOR,286 UNION AVENUE,372500,12/18/19
MIDLAND BEACH,788 NUGENT AVENUE,465000,12/18/19
NEW DORP,260 CLAWSON ST,1,12/18/19
NEW DORP-BEACH,16 FINLEY AVENUE,1000,12/18/19
NEW DORP-HEIGHTS,3046 RICHMOND ROAD,815000,12/18/19
NEW SPRINGVILLE,207 ESSEX DRIVE,610000,12/18/19
SILVER LAKE,263 OAKWOOD AVENUE,615000,12/18/19
SOUTH BEACH,118 BIONIA AVENUE,580000,12/18/19
TOTTENVILLE,445 MANHATTAN STREET,650000,12/18/19
WILLOWBROOK,240 MARTIN AVENUE,725000,12/18/19
ARDEN HEIGHTS,184 FOREST GREEN,484000,12/19/19
ARROCHAR,326 FINGERBOARD ROAD,750000,12/19/19
CLOVE LAKES,12 JONES PLACE,720000,12/19/19
DONGAN HILLS,27 NEWBERRY AVENUE,535000,12/19/19
DONGAN HILLS-COLONY,10 OCEANVIEW LANE,1200000,12/19/19
ELTINGVILLE,4242 RICHMOND AVENUE,555000,12/19/19
GRANT CITY,212 JEFFERSON AVENUE,775000,12/19/19
GRANT CITY,"1930 RICHMOND ROAD, B",665000,12/19/19
GRASMERE,85 VENICE AVENUE,785000,12/19/19
GREAT KILLS,288 GETZ AVENUE,515000,12/19/19
GRYMES HILL,"755 NARROWS ROAD NORTH, 807",245000,12/19/19
LIVINGSTON,94 DELAFIELD PLACE,420000,12/19/19
MARINERS HARBOR,394 LAKE AVENUE,478325,12/19/19
NEW BRIGHTON,111 PROSPECT AVENUE,415000,12/19/19
PORT RICHMOND,170 JEWETT AVENUE,220000,12/19/19
PRINCES BAY,454 HOLTEN AVENUE,1335000,12/19/19
PRINCES BAY,178 ADMIRALTY LOOP,590000,12/19/19
PRINCES BAY,47 EL CAMINO LOOP,725000,12/19/19
ROSEBANK,159 CLIFTON AVENUE,514500,12/19/19
ROSEBANK,1190 BAY STREET,715000,12/19/19
ROSSVILLE,166 BALSAM PLACE,385000,12/19/19
SILVER LAKE,359 HART AVENUE,640000,12/19/19
SOUTH BEACH,104 HICKORY AVENUE,668000,12/19/19
TOTTENVILLE,551 ROCKAWAY STREET,650000,12/19/19
TRAVIS,52 MEREDITH AVENUE,500000,12/19/19
WEST NEW BRIGHTON,600 DELAFIELD AVENUE,515000,12/19/19
WEST NEW BRIGHTON,753 DELAFIELD AVENUE,515000,12/19/19
WESTERLEIGH,49 HOME PLACE,673572,12/19/19
ARDEN HEIGHTS,32 BARCLAY CIRCLE,450000,12/20/19
BULLS HEAD,41 HIRSCH LANE,468000,12/20/19
BULLS HEAD,16 OLIVER PLACE,749900,12/20/19
BULLS HEAD,408 LISK AVENUE,250000,12/20/19
CASTLETON CORNERS,26 RAYMOND AVENUE,630000,12/20/19
CLOVE LAKES,12 LLOYD COURT,765000,12/20/19
CONCORD-FOX HILLS,54 SKYLINE DRIVE,328000,12/20/19
ELTINGVILLE,52 FIGUREA AVENUE,680000,12/20/19
GRASMERE,440 ODER AVENUE,655000,12/20/19
GREAT KILLS,4055 HYLAN BOULEVARD,11920000,12/20/19
GRYMES HILL,1028 VAN DUZER STREET,400000,12/20/19
LIVINGSTON,87 TYSEN STREET,572500,12/20/19
MARINERS HARBOR,129 MARINERS LANE,345000,12/20/19
MARINERS HARBOR,104 MAPLE PARKWAY,555000,12/20/19
MARINERS HARBOR,9 NOAH COURT,437500,12/20/19
MARINERS HARBOR,"30 SPIRIT LANE, 33",435647,12/20/19
MARINERS HARBOR,2980 RICHMOND TERRACE,10,12/20/19
NEW BRIGHTON,62 FILLMORE STREET,395460,12/20/19
NEW DORP-BEACH,136 PELICAN CIRCLE,472000,12/20/19
NEW SPRINGVILLE,"2 ELMWOOD PARK DRIVE, 328",265000,12/20/19
PLEASANT PLAINS,112 WOODVALE AVENUE,935000,12/20/19
PLEASANT PLAINS,11 GILBERT PLACE,690000,12/20/19
PORT RICHMOND,254 CHARLES AVENUE,270000,12/20/19
ROSSVILLE-CHARLESTON,130 KREISCHER STREET,430000,12/20/19
SILVER LAKE,334 FOREST AVENUE,425000,12/20/19
STAPLETON,545 VAN DUZER STREET,470000,12/20/19
TOMPKINSVILLE,74 CLARK LANE,324480,12/20/19
TRAVIS,25 WATSON AVENUE,525000,12/20/19
WEST NEW BRIGHTON,"999 FOREST AVENUE, 4B",240000,12/20/19
WEST NEW BRIGHTON,110 HENDERSON AVENUE,15491250,12/20/19
WOODROW,600 RAMONA AVENUE,450000,12/20/19
ANNADALE,895 ANNADALE ROAD,375000,12/23/19
ANNADALE,250 CROWN AVENUE,700000,12/23/19
ARROCHAR,171 SAND LANE,595676,12/23/19
BULLS HEAD,3298 VICTORY BOULEVARD,500,12/23/19
CASTLETON CORNERS,147 KEIBER COURT,576000,12/23/19
DONGAN HILLS,42 WHITAKER PLACE,680000,12/23/19
DONGAN HILLS-COLONY,112 EMERSON COURT,750000,12/23/19
ELTINGVILLE,154 CROSSFIELD AVENUE,485000,12/23/19
ELTINGVILLE,805 ARDEN AVENUE,559000,12/23/19
GRASMERE,875 TARGEE STREET,406614,12/23/19
GREAT KILLS,171 KENNINGTON ST,600000,12/23/19
GREAT KILLS,122 DAVID STREET,430000,12/23/19
GREAT KILLS,190 ROBINSON AVENUE,499999,12/23/19
GREAT KILLS,136 RIDGECREST AVENUE,620000,12/23/19
GREAT KILLS,120 PEMBERTON AVENUE,773870,12/23/19
GREAT KILLS,"152 TIMBER RIDGE DRIVE, N/A",295000,12/23/19
GREAT KILLS,"3461 AMBOY ROAD, 4A",540000,12/23/19
GREAT KILLS-BAY TERRACE,6 CRANFORD STREET,600000,12/23/19
HUGUENOT,594 SHELDON AVENUE,665000,12/23/19
HUGUENOT,36 PRALL AVENUE,710000,12/23/19
HUGUENOT,N/A DEISIUS STREET,1089528,12/23/19
MARINERS HARBOR,47 MORNINGSTAR ROAD,243360,12/23/19
NEW BRIGHTON,104 ST MARKS PLACE,715000,12/23/19
NEW DORP,112 JACQUES AVENUE,1058979,12/23/19
NEW SPRINGVILLE,48 MULBERRY AVENUE,455000,12/23/19
NEW SPRINGVILLE,446 TRAVIS AVENUE,710000,12/23/19
OAKWOOD-BEACH,379 ADELAIDE AVENUE,591000,12/23/19
ROSEBANK,54 LYNHURST AVENUE,290000,12/23/19
ROSEBANK,281 ST JOHNS AVENUE,590000,12/23/19
ROSEBANK,48 NARROWS ROAD SOUTH,525000,12/23/19
SOUTH BEACH,87 ALEX CIRCLE,480000,12/23/19
TOMPKINSVILLE,202 ST PAULS AVENUE,610000,12/23/19
TOTTENVILLE,20 MASSACHUSETTS STREET,560000,12/23/19
TOTTENVILLE,189 MAIN STREET,370000,12/23/19
WEST NEW BRIGHTON,120 ALASKA STREET,424000,12/23/19
BULLS HEAD,26 KINGSBRIDGE AVENUE,660000,12/24/19
MARINERS HARBOR,43 LOCKMAN AVENUE,255000,12/24/19
NEW SPRINGVILLE,278 TRAVIS AVENUE,590000,12/24/19
PORT RICHMOND,72 HARRISON AVENUE,480000,12/24/19
ROSSVILLE,20 VENUS PLACE,805086,12/24/19
ANNADALE,5 EAGAN AVENUE,460000,12/26/19
ANNADALE,N/A ARDEN AVENUE,33000,12/26/19
ARROCHAR-SHORE ACRES,1371 BAY STREET,650000,12/26/19
BULLS HEAD,50 FOREST STREET,590000,12/26/19
DONGAN HILLS,26 ATLANTIC AVENUE,1078000,12/26/19
GRANT CITY,76 ZOE STREET,251000,12/26/19
GRASMERE,"55 ALAN LOOP, N/A",150101,12/26/19
MANOR HEIGHTS,192 PORTAGE AVENUE,580000,12/26/19
NEW BRIGHTON-ST. GEORGE,"90 BAY STREET LANDING, 9F",1825000,12/26/19
NEW DORP-BEACH,235 MILTON AVENUE,414726,12/26/19
NEW DORP-HEIGHTS,82 BELFAST AVENUE,525000,12/26/19
NEW SPRINGVILLE,27 ROCKVILLE AVENUE,660000,12/26/19
NEW SPRINGVILLE,"47A SATURN LANE, 47A",300000,12/26/19
NEW SPRINGVILLE,"75 ESSEX DRIVE, 1E",390000,12/26/19
PRINCES BAY,661 JOHNSTON TERRACE,700000,12/26/19
ROSEBANK,43 ST MARYS AVENUE,661863,12/26/19
ROSEBANK,151 HYLAN BOULEVARD,400400,12/26/19
ROSEBANK,140 HOPE AVENUE,868000,12/26/19
ROSSVILLE-CHARLESTON,138 KREISCHER STREET,475000,12/26/19
STAPLETON,18 CLINTON STREET,906243,12/26/19
WEST NEW BRIGHTON,346 DAVIS AVENUE,437500,12/26/19
ANNADALE,41 ARBUTUS WAY,1150000,12/27/19
ANNADALE,298 SHELDON AVENUE,900000,12/27/19
ARROCHAR,100 WADSWORTH AVENUE,500000,12/27/19
CLOVE LAKES,547 CLOVE ROAD,590000,12/27/19
CONCORD,56 LAUREL AVENUE,385000,12/27/19
ELTINGVILLE,44 MEMPHIS AVENUE,620000,12/27/19
ELTINGVILLE,94 BRANDIS AVENUE,795000,12/27/19
ELTINGVILLE,9 BERRY AVENUE,395000,12/27/19
GREAT KILLS,1 LEVERETT COURT,555000,12/27/19
GREAT KILLS,414 ROBINSON AVENUE,515000,12/27/19
MARINERS HARBOR,238A GRANITE AVENUE,350000,12/27/19
MARINERS HARBOR,285 LOCKMAN AVENUE,435919,12/27/19
MARINERS HARBOR,364 VAN PELT AVENUE,295756,12/27/19
MARINERS HARBOR,453 NETHERLAND AVENUE,416000,12/27/19
NEW DORP,65 JACQUES AVENUE,690000,12/27/19
PLEASANT PLAINS,N/A STEVENSON PLACE,400000,12/27/19
PORT RICHMOND,139 PORT RICHMOND AVENUE,525000,12/27/19
PRINCES BAY,330 SEGUINE AVENUE,755000,12/27/19
ROSEBANK,233 ANDERSON STREET,439900,12/27/19
ROSSVILLE,742 MAGUIRE AVENUE,757000,12/27/19
SILVER LAKE,44 CITY BOULEVARD,425880,12/27/19
SILVER LAKE,"215 HART BOULEVARD, 3K",282500,12/27/19
TOTTENVILLE,125 NANCY LANE,1075000,12/27/19
TOTTENVILLE,34 LION STREET,785000,12/27/19
WEST NEW BRIGHTON,110 HENDERSON AVENUE,40800000,12/27/19
WESTERLEIGH,427 INGRAM AVENUE,767000,12/27/19
ARDEN HEIGHTS,124 ERIKA LOOP,595000,12/30/19
BULLS HEAD,24 MONSEY PLACE,415000,12/30/19
CONCORD,14 HAMILTON STREET,280000,12/30/19
CONCORD-FOX HILLS,265 SKYLINE DRIVE,420000,12/30/19
DONGAN HILLS,280 ATLANTIC AVENUE,800000,12/30/19
ELTINGVILLE,228 SHOTWELL AVENUE,540000,12/30/19
GRANT CITY,266 SEAVIEW AVENUE,599999,12/30/19
GRANT CITY,137 DONGAN HILLS AVENUE,545000,12/30/19
GREAT KILLS,183 GREAT KILLS ROAD,625000,12/30/19
GREAT KILLS,351 BEACH ROAD,517000,12/30/19
GREAT KILLS,177 WIMAN AVENUE,10,12/30/19
GREAT KILLS,"3747 AMBOY ROAD, 6A",230000,12/30/19
HUGUENOT,859 RATHBUN AVENUE,1125000,12/30/19
MARINERS HARBOR,64 LOCKMAN AVENUE,728049,12/30/19
MIDLAND BEACH,5 NUGENT CT,438000,12/30/19
MIDLAND BEACH,"574 DONGAN HILLS AVENUE, 20A1",580000,12/30/19
MIDLAND BEACH,"5 GRIMSBY STREET, A",575000,12/30/19
MIDLAND BEACH,N/A SEAVER AVENUE,77000,12/30/19
NEW BRIGHTON-ST. GEORGE,"10 BAY STREET LANDING, 1A",510000,12/30/19
NEW DORP,114 JACQUES AVENUE,1058980,12/30/19
NEW SPRINGVILLE,"41 WELLINGTON COURT, 1D",290000,12/30/19
PORT IVORY,"101 POND WAY, 101",227000,12/30/19
PORT RICHMOND,7 ANN STREET,400000,12/30/19
PORT RICHMOND,165 NICHOLAS AVENUE,100,12/30/19
RICHMONDTOWN,131 ST ANDREWS ROAD,890000,12/30/19
STAPLETON,741 VAN DUZER STREET,301000,12/30/19
SUNNYSIDE,"850 HOWARD AVENUE, 1B",275619,12/30/19
TOMPKINSVILLE,37 DULANCEY COURT,437000,12/30/19
TOMPKINSVILLE,22 NATALIE COURT,620000,12/30/19
TOTTENVILLE,88 TYRRELL STREET,982611,12/30/19
WEST NEW BRIGHTON,179 MARKET STREET,390000,12/30/19
WEST NEW BRIGHTON,11 TRINITY PLACE,410000,12/30/19
WEST NEW BRIGHTON,596 DELAFIELD AVE,560000,12/30/19
WEST NEW BRIGHTON,292-294 BARD AVENUE,616000,12/30/19
WESTERLEIGH,211 CRYSTAL AVENUE,640000,12/30/19
WOODROW,854 BLOOMINGDALE ROAD,400000,12/30/19
ARDEN HEIGHTS,726 ILYSSA WAY,330000,12/31/19
CLOVE LAKES,1050 CLOVE ROAD,21714071,12/31/19
CONCORD,81 RHINE AVENUE,500000,12/31/19
DONGAN HILLS-COLONY,60 OLD FARMERS LANE,1100000,12/31/19
ELTINGVILLE,60 RENSSELAER AVENUE,705000,12/31/19
MANOR HEIGHTS,124 QUEEN STREET,691000,12/31/19
MARINERS HARBOR,61 UNION AVENUE,408000,12/31/19
MIDLAND BEACH,78 BOUNDARY AVENUE,550000,12/31/19
MIDLAND BEACH,1298 MASON AVENUE,515000,12/31/19
MIDLAND BEACH,262 GRIMSBY STREET,548000,12/31/19
NEW DORP-BEACH,219 MILTON AVENUE,350000,12/31/19
NEW SPRINGVILLE,"63A SATURN LANE, 63A",397500,12/31/19
PORT IVORY,14 FANCHER PLACE,219024,12/31/19
PORT IVORY,172 HOLLAND AVENUE,62000,12/31/19
ROSSVILLE-RICHMOND VALLEY,128 MEADE LOOP,965000,12/31/19
WILLOWBROOK,684 HARRIS AVENUE,800000,12/31/19